iter	TotalF1:average=Macro	MultiClass
156	0.9042488428	0.2320741858
157	0.9049403187	0.2311796642
158	0.9050592142	0.2304903135
159	0.9054562335	0.2295795577
160	0.9068061139	0.2278450456
161	0.9075461483	0.2268910433
162	0.9083795301	0.2257511669
163	0.9090426204	0.2249978177
164	0.9096943862	0.2239096493
165	0.9104160984	0.2225783168
166	0.9118132655	0.2218211785
167	0.9117959797	0.22101367
168	0.9135513019	0.220168786
169	0.914039177	0.2193360767
170	0.9144500619	0.2184908101
171	0.9158687189	0.2175630631
172	0.9166037042	0.2168675205
173	0.9177306387	0.2156549729
174	0.918203452	0.2148850702
175	0.9183665917	0.2142767805
176	0.918928983	0.2132298577
177	0.9210640226	0.2121584631
178	0.9212967233	0.2115617502
179	0.9203711214	0.210777867
180	0.9215947949	0.2095337746
181	0.9234889455	0.2086866168
182	0.9238684082	0.2076691702
183	0.925399073	0.2066313854
184	0.9258740541	0.2060981595
185	0.9266674525	0.2050935718
186	0.9266362535	0.204253805
187	0.9278261025	0.2033690295
188	0.9284029448	0.2024297938
189	0.928360189	0.2016753561
190	0.9287821749	0.2011038031
191	0.9298968853	0.2004995652
192	0.9307630412	0.1999126519
193	0.9307827978	0.1988397457
194	0.9326106179	0.1978308064
195	0.9334142408	0.1971725443
196	0.9335476477	0.1966270496
197	0.9337587191	0.1960099515
198	0.9341145688	0.1948813232
199	0.9345451493	0.1940180207
200	0.9348629582	0.1931718264
201	0.9353179603	0.1925237447
202	0.9351601783	0.1916471249
203	0.9351364337	0.1910927308
204	0.9356741654	0.1904345542
205	0.9356422479	0.1899852123
206	0.9360680345	0.189398017
207	0.9367621435	0.1882438906
208	0.9377219874	0.1872666174
209	0.9382910731	0.1869303007
210	0.9385720023	0.1864538917
211	0.9386673336	0.1857892196
212	0.9388363978	0.1851495581
213	0.9392042109	0.1847455334
214	0.9396693243	0.1839535543
215	0.939976295	0.1834216729
216	0.9405760073	0.1829755541
217	0.9411897927	0.181841935
218	0.9421470545	0.1812760023
219	0.9421583426	0.1807584548
220	0.9423733916	0.1800884768
221	0.9430103622	0.1793923708
222	0.9429723051	0.1787276405
223	0.9433781207	0.1780088852
224	0.9436035821	0.1772208589
225	0.943930753	0.1764462314
226	0.9441402935	0.1758429124
227	0.9442686799	0.1755277709
228	0.9444050399	0.1747453135
229	0.9449311906	0.1742568588
230	0.9451004839	0.1737946224
231	0.9457048281	0.1729588616
232	0.9457841016	0.1725277927
233	0.946223851	0.1718799112
234	0.946349669	0.1713811892
235	0.9464758153	0.1710016672
236	0.9468518949	0.1703060683
237	0.9472371754	0.169696683
238	0.9472235351	0.1692821645
239	0.9474211364	0.1687847134
240	0.9478296378	0.1682951535
241	0.9489504918	0.1676506172
242	0.9486627924	0.1672845154
243	0.9492563211	0.1667353149
244	0.9496940531	0.1660165446
245	0.9497011598	0.1655038586
246	0.9497626913	0.1651414633
247	0.9496148289	0.1645759325
248	0.9499212288	0.1641392683
249	0.9499648497	0.1636548931
250	0.9506274296	0.1632071291
251	0.9502494221	0.1626548433
252	0.950540427	0.1622989281
253	0.9509811967	0.1618881482
254	0.95096531	0.1616054341
255	0.9520143779	0.1612093323
256	0.9522705521	0.1604938424
257	0.9523549354	0.159984733
258	0.9530009214	0.1594616952
259	0.9532495401	0.1590982021
260	0.953525379	0.1587313918
261	0.9531148698	0.1583790992
262	0.9530460361	0.1579071263
263	0.9532729636	0.1574907717
264	0.9537108351	0.1569582068
265	0.9548285402	0.1565011919
266	0.9549972167	0.1559102381
267	0.954931316	0.1554078075
268	0.955132181	0.1549313618
269	0.9550394032	0.1546213226
270	0.955239478	0.1542454921
271	0.9561001213	0.1536252862
272	0.9565981286	0.1532379566
273	0.9567868083	0.1529968547
274	0.956960877	0.1525615738
275	0.9572369638	0.1518958234
276	0.9575806249	0.1514564611
277	0.9577099616	0.1511406096
278	0.9579961918	0.1508522158
279	0.9579303035	0.1502820193
280	0.9580670963	0.1499777864
281	0.9580405185	0.1498284757
282	0.9583894119	0.149424123
283	0.9588191643	0.1488990827
284	0.9588485383	0.1484994522
285	0.9591325591	0.1479111005
286	0.9592751603	0.1475262721
287	0.9593259359	0.1473048385
288	0.9595098941	0.1467968199
289	0.9595851236	0.1465337786
290	0.9596036772	0.1463356453
291	0.9597178506	0.146079338
292	0.9597743555	0.145858975
293	0.9598653777	0.1453486303
294	0.9599732665	0.1448576635
295	0.9599627854	0.1445659842
296	0.9600667436	0.1443201858
297	0.9603124042	0.1437495999
298	0.9603878052	0.1435093012
299	0.9604301611	0.1431840016
300	0.9605725925	0.1428942367
301	0.9604667569	0.1426481113
302	0.9610924932	0.1420422587
303	0.9614613849	0.141507362
304	0.9617738353	0.1412435713
305	0.9618810736	0.1407144411
306	0.9620586779	0.1402796949
307	0.9622647423	0.1396885996
308	0.9621705845	0.1394659052
309	0.9622928705	0.1391075602
310	0.962146029	0.1387380459
311	0.9622483564	0.1383982034
312	0.9624898948	0.1380560213
313	0.9625432548	0.1377344672
314	0.962634531	0.1373397196
315	0.9627343636	0.1369919206
316	0.9631145719	0.1365988061
317	0.9631145719	0.1364478394
318	0.9630986253	0.1362525628
319	0.9633551076	0.1359586792
320	0.9633806404	0.1358103808
321	0.9632952055	0.1352018455
322	0.9639148735	0.134615268
323	0.9640453572	0.134258851
324	0.9641274731	0.1341038104
325	0.9641878447	0.1338597062
326	0.9641220354	0.1336113124
327	0.9645397873	0.1332054213
328	0.9648408168	0.1327564319
329	0.9649979225	0.132558951
330	0.9654599635	0.1320874505
331	0.9654472282	0.1317560634
332	0.9654472282	0.1315951034
333	0.9654472282	0.1313613227
334	0.9656254452	0.1309198279
335	0.9657191318	0.1307321838
336	0.965873881	0.1303804718
337	0.9658806336	0.1300086713
338	0.9663158457	0.1296677889
339	0.9661340574	0.1293393784
340	0.9666527097	0.1289388021
341	0.9665966595	0.1285950611
342	0.9665599285	0.1284431901
343	0.9668938919	0.128121978
344	0.9671599107	0.1277030284
345	0.9674511698	0.127314589
346	0.9675992511	0.1270771854
347	0.9677062513	0.1267703876
348	0.9677821719	0.1264759073
349	0.9678295646	0.1261894084
350	0.9677821719	0.1259466208
351	0.9679217877	0.1257035035
352	0.9684945137	0.1252941605
353	0.9684246733	0.1248014813
354	0.9684322278	0.1245102154
355	0.9688476477	0.1240101215
356	0.9688476477	0.1238017451
357	0.9692201503	0.1235133709
358	0.9693042794	0.1232224689
359	0.9695235977	0.1228636227
360	0.9696570587	0.1226689147
361	0.9700837409	0.1224507622
362	0.9702486253	0.1221237527
363	0.970044422	0.1220176952
364	0.9699241817	0.1216960897
365	0.9708105921	0.1213767712
366	0.97070416	0.1211406636
367	0.9707524335	0.1209228184
368	0.9706897024	0.1207100398
369	0.970733752	0.1204912935
370	0.9710401284	0.1201731784
371	0.9712792535	0.1199786669
372	0.9712623546	0.1198054607
373	0.971273252	0.1195125697
374	0.971355746	0.1192615649
375	0.9714589716	0.1189000996
376	0.9714571463	0.118756157
377	0.9716958482	0.1185422417
378	0.9718349109	0.1180558262
379	0.9718575592	0.1178618713
380	0.972088515	0.1175192728
381	0.9722483923	0.117323147
382	0.9721290852	0.1170418987
383	0.9722797261	0.1168978145
384	0.9723747193	0.1166941464
385	0.9723483096	0.1164533754
386	0.9723483096	0.1162500897
387	0.9724858575	0.116030529
388	0.9725427282	0.1157127288
389	0.9726013023	0.115515247
390	0.9728362438	0.1152437274
391	0.9731412081	0.1148624336
392	0.9731262799	0.1146551634
393	0.9731707922	0.1144612193
394	0.9731951006	0.1142679176
395	0.9733064341	0.1141020644
396	0.9734094763	0.1138402739
397	0.9735903125	0.1136155521
398	0.973560466	0.1133868861
399	0.9741491432	0.1130559813
400	0.9739215694	0.1129380018
401	0.9739127772	0.1127240553
402	0.9739127772	0.1126375557
403	0.9742813883	0.1123208186
404	0.9742813883	0.1121282126
405	0.9744689777	0.1118771881
406	0.9744066846	0.1116215839
407	0.9744126854	0.1114047112
408	0.9744697879	0.111197745
409	0.9747350139	0.1107032304
410	0.9747347725	0.1105067198
411	0.9747969873	0.1102502736
412	0.9748828078	0.1099286373
413	0.9749091804	0.10977256
414	0.9750764681	0.1095895237
415	0.9751284249	0.1093620062
416	0.9752414768	0.1090365538
417	0.9753445366	0.1087835637
418	0.9755441253	0.1086293738
419	0.9757359947	0.1082787103
420	0.9756554482	0.1080466593
421	0.9759827886	0.1075873003
422	0.9759564124	0.1074733717
423	0.9758992541	0.1072728727
424	0.976089144	0.106963631
425	0.9764118479	0.1068370566
426	0.9763181035	0.1066880411
427	0.9762836715	0.1065495778
428	0.9764940627	0.1061480997
