iter	Passed	Remaining
399	49911	12477
400	50029	12351
401	50145	12224
402	50258	12096
403	50372	11969
404	50488	11843
405	50603	11716
406	50724	11590
407	50848	11465
408	50963	11339
409	51082	11213
410	51198	11086
411	51312	10959
412	51425	10833
413	51543	10707
414	51665	10582
415	51787	10457
416	51908	10331
417	52030	10206
418	52154	10082
419	52274	9956
420	52401	9833
421	52540	9711
422	52660	9585
423	52785	9461
424	52914	9337
425	53035	9212
426	53163	9088
427	53294	8965
428	53419	8841
429	53540	8715
430	53662	8590
431	53778	8465
432	53893	8339
433	54015	8214
434	54130	8088
435	54243	7962
436	54358	7836
437	54476	7711
438	54616	7589
439	54738	7464
440	54867	7340
441	54998	7216
442	55132	7093
443	55262	6970
444	55395	6846
445	55526	6722
446	55661	6599
447	55799	6476
448	55927	6352
449	56051	6227
450	56183	6104
451	56312	5980
452	56434	5855
453	56573	5732
454	56704	5608
455	56824	5483
456	56952	5358
457	57083	5234
458	57211	5110
459	57334	4985
460	57470	4861
461	57595	4737
462	57718	4612
463	57853	4488
464	57982	4364
465	58117	4240
466	58250	4116
467	58384	3992
468	58519	3868
469	58653	3743
470	58787	3619
471	58915	3494
472	59045	3370
473	59176	3245
474	59302	3121
475	59422	2996
476	59557	2871
477	59684	2746
478	59806	2622
479	59937	2497
480	60069	2372
481	60206	2248
482	60338	2123
483	60472	1999
484	60604	1874
485	60730	1749
486	60867	1624
487	61003	1500
488	61131	1375
489	61263	1250
490	61390	1125
491	61521	1000
492	61672	875
493	61802	750
494	61930	625
495	62067	500
496	62204	375
497	62332	250
498	62465	125
499	62600	0
